# dataset=strongs/glosses; lang=eng; source=strongs_gloss(lexicon)+llm_strongs_glosses(llm); license=see resources/strongs/README.md; date=2026-06-20
strong	lemma	gloss	methods	sources
G0332	ἀναθεματίζω	take an oath	lexicon	stepbible
G0333	ἀναθεωρέω	contemplate	lexicon	stepbible
G0334	ἀνάθεμα	vow offering	lexicon	stepbible
G0335	ἀναίδεια	shamelessnes	lexicon	stepbible
G0336	ἀναίρεσις	murder	lexicon	stepbible
G0337	ἀναιρέω	kill	lexicon	stepbible
G0338	ἀναίτιος	innocent	lexicon	stepbible
G0339	ἀνακαθίζω	sit up	lexicon	stepbible
G0340	ἀνακαινίζω	restore	lexicon	stepbible
G0341	ἀνακαινόω	renew	lexicon	stepbible
G0342	ἀνακαίνωσις	renewal	lexicon	stepbible
G0343	ἀνακαλύπτω	unveil	lexicon	stepbible
G0344	ἀνακάμπτω	return	lexicon	stepbible
G0345	ἀνάκειμαι	recline	lexicon	stepbible
G0346	ἀνακεφαλαιόω	summarise	lexicon	stepbible
G0347	ἀνακλίνω	recline	lexicon	stepbible
G0348		restrain	lexicon	stepbible
G0349	ἀνακράζω	yell	lexicon	stepbible
G0350	ἀνακρίνω	investigate	lexicon	stepbible
G0351	ἀνάκρισις	investigation	lexicon	stepbible
G0352	ἀνακύπτω	straighten up	lexicon	stepbible
G0353	ἀναλαμβάνω	take up	lexicon	stepbible
G0354	ἀνάλημψις	ascension	lexicon	stepbible
G0355	ἀναλόω	consume	lexicon	stepbible
G0356	ἀναλογία	proportion	lexicon	stepbible
G0357	ἀναλογίζομαι	consider	lexicon	stepbible
G0358	ἄναλος	unsalty	lexicon	stepbible
G0359	ἀνάλυσις	departure	lexicon	stepbible
G0360	ἀναλύω	depart	lexicon	stepbible
G0361	ἀναλύω	sinless	lexicon	stepbible
G0362	ἀναμένω	await	lexicon	stepbible
G0363	ἀναμιμνῄσκω	remind	lexicon	stepbible
G0364	ἀνάμνησις	remembrance	lexicon	stepbible
G0365	ἀνανεόω	renew	lexicon	stepbible
G0366	ἀνανήφω	regain senses	lexicon	stepbible
G0367	Ἁνανίας	Ananias	lexicon	stepbible
G0368	ἀναντίρρητος	indisputable	lexicon	stepbible
G0369	ἀναντιρρήτως	without objection	lexicon	stepbible
G0370	ἀνάξιος	unworthy	lexicon	stepbible
G0371	ἀναξίως	unworthily	lexicon	stepbible
G0372	ἀνάπαυσις	rest	lexicon	stepbible
G0373	ἀναπαύω	give rest	lexicon	stepbible
G0374	ἀναπείθω	persuade	lexicon	stepbible
G0375	ἀναπέμπω	send back	lexicon	stepbible
G0376	ἀνάπειρος	crippled	lexicon	stepbible
G0377	ἀναπίπτω	recline	lexicon	stepbible
G0378	ἀναπληρόω	fulfil	lexicon	stepbible
G0379	ἀναπολόγητος	inexcusable	lexicon	stepbible
G0380	ἀναπτύσσω	unroll	lexicon	stepbible
G0381	ἀνάπτω	set fire	lexicon	stepbible
G0382	ἀναρίθμητος	countless	lexicon	stepbible
G0383	ἀνασείω	incite	lexicon	stepbible
G0384	ἀνασκευάζω	upset	lexicon	stepbible
G0385	ἀνασπάω	pull up	lexicon	stepbible
G0386	ἀνάστασις	resurrection	lexicon	stepbible
G0387	ἀναστατόω	cause trouble	lexicon	stepbible
G0388	ἀνασταυρόω	recrucify	lexicon	stepbible
G0389	ἀναστενάζω	sigh deeply	lexicon	stepbible
G0390	ἀναστρέφω	live	lexicon	stepbible
G0391	ἀναστροφή	behaviour	lexicon	stepbible
G0392	ἀνατάσσομαι	compile	lexicon	stepbible
G0393	ἀνατέλλω	rise	lexicon	stepbible
G0394	ἀνατίθημι	set before	lexicon	stepbible
G0395	ἀνατολή	east	lexicon	stepbible
G0396	ἀνατρέπω	overturn	lexicon	stepbible
G0397	ἀνατρέφω	bring up	lexicon	stepbible
G0398	ἀναφαίνω	appear	lexicon	stepbible
G0399	ἀναφέρω	carry up	lexicon	stepbible
G0400	ἀναφωνέω	exclaim	lexicon	stepbible
G0401	ἀνάχυσις	outpouring	lexicon	stepbible
G0402	ἀναχωρέω	leave	lexicon	stepbible
G0403	ἀνάψυξις	refreshment	lexicon	stepbible
G0404	ἀναψύχω	refresh	lexicon	stepbible
G0405	ἀνδραποδιστής	slave-trader	lexicon	stepbible
G0406	Ἀνδρέας	Andrew	lexicon	stepbible
G0407	ἀνδρίζομαι	act like a man	lexicon	stepbible
G0408	Ἀνδρόνικος	Andronicus	lexicon	stepbible
G0409	ἀνδροφόνος	murderer	lexicon	stepbible
G0410	ἀνέγκλητος	irreproachable	lexicon	stepbible
G0411	ἀνεκδιήγητος	indescribable	lexicon	stepbible
G0412	ἀνεκλάλητος	inexpressible	lexicon	stepbible
G0413	ἀνέκλειπτος	inexhaustible	lexicon	stepbible
G0414	ἀνεκτότερος	bearable	lexicon	stepbible
G0415	ἀνελεήμων	merciless	lexicon	stepbible
G0416	ἀνεμίζω	be wind-blown	lexicon	stepbible
G0417	ἄνεμος	wind	lexicon	stepbible
G0418	ἀνένδεκτος	impossible	lexicon	stepbible
G0419	ἀνεξεραύνητος	unsearchable	lexicon	stepbible
G0420	ἀνεξίκακος	not resentful	lexicon	stepbible
G0421	ἀνεξιχνίαστος	unsearchable	lexicon	stepbible
G0422	ἀνεπαίσχυντος	unashamed	lexicon	stepbible
G0423	ἀνεπίλημπτος	irreproachable	lexicon	stepbible
G0424	ἀνέρχομαι	go up	lexicon	stepbible
G0425	ἄνεσις	rest	lexicon	stepbible
G0426	ἀνετάζω	question	lexicon	stepbible
G0427	ἄνευ	without	lexicon	stepbible
G0428	ἀνεύθετος	unsuitable	lexicon	stepbible
G0429	ἀνευρίσκω	find	lexicon	stepbible
G0430	ἀνέχω	endure	lexicon	stepbible
G0431	ἀνεψιός	cousin	lexicon	stepbible
G0432	ἄνηθον	dill	lexicon	stepbible
G0433	ἀνήκω	be fitting	lexicon	stepbible
G0434	ἀνήμερος	brutal	lexicon	stepbible
G0435	ἀνήρ	man	lexicon	stepbible
G0436	ἀνθίστημι	oppose	lexicon	stepbible
G0437	ἀνθομολογέομαι	praise	lexicon	stepbible
G0438	ἄνθος	flower	lexicon	stepbible
G0439	ἀνθρακιά	charcoal fire	lexicon	stepbible
G0440	ἄνθραξ	charcoal	lexicon	stepbible
G0441	ἀνθρωπάρεσκος	people-pleaser	lexicon	stepbible
G0442	ἀνθρώπινος	human	lexicon	stepbible
G0443	ἀνθρωποκτόνος	murderer	lexicon	stepbible
G0444	ἄνθρωπος	human	lexicon	stepbible
G0445		proconsul	lexicon	stepbible
G0446	ἀνθύπατος	proconsul	lexicon	stepbible
G0447	ἀνίημι	loosen	lexicon	stepbible
G0448	ἀνέλεος	merciless	lexicon	stepbible
G0449	ἄνιπτος	unwashed	lexicon	stepbible
G0450	ἀνίστημι	arise	lexicon	stepbible
G0451	Ἅννα	Anna	lexicon	stepbible
G0452	Ἅννας	Annas	lexicon	stepbible
G0453	ἀνόητος	foolish	lexicon	stepbible
G0454	ἄνοια	folly	lexicon	stepbible
G0455	ἀνοίγω	open	lexicon	stepbible
G0456	ἀνοικοδομέω	rebuild	lexicon	stepbible
G0457	ἄνοιξις	opening	lexicon	stepbible
G0458	ἀνομία	lawlessness	lexicon	stepbible
G0459	ἄνομος	lawless	lexicon	stepbible
G0460	ἀνόμως	without law	lexicon	stepbible
G0461	ἀνορθόω	restore	lexicon	stepbible
G0462	ἀνόσιος	unholy	lexicon	stepbible
G0463	ἀνοχή	tolerance	lexicon	stepbible
G0464	ἀνταγωνίζομαι	struggle	lexicon	stepbible
G0465	ἀντάλλαγμα	in exchange	lexicon	stepbible
G0466	ἀνταναπληρόω	fill again	lexicon	stepbible
G0467	ἀνταποδίδωμι	repay	lexicon	stepbible
G0468	ἀνταπόδομα	repayment	lexicon	stepbible
G0469	ἀνταπόδοσις	reward	lexicon	stepbible
G0470	ἀνταποκρίνομαι	contradict	lexicon	stepbible
G0471		contradict	lexicon	stepbible
G0472	ἀντέχω	cling to	lexicon	stepbible
G0473	ἀντί	for	lexicon	stepbible
G0474	ἀντιβάλλω	discuss	lexicon	stepbible
G0475	ἀντιδιατίθημι	oppose	lexicon	stepbible
G0476	ἀντίδικος	opponent	lexicon	stepbible
G0477	ἀντίθεσις	opposition	lexicon	stepbible
G0478	ἀντικαθίστημι	resist	lexicon	stepbible
G0479	ἀντικαλέω	invite in return	lexicon	stepbible
G0480	ἀντίκειμαι	be an opponent	lexicon	stepbible
G0481	ἄντικρυς	opposite	lexicon	stepbible
G0482	ἀντιλαμβάνω	help	lexicon	stepbible
G0483	ἀντιλέγω	dispute	lexicon	stepbible
G0484	ἀντίλημψις	help	lexicon	stepbible
G0485	ἀντιλογία	dispute	lexicon	stepbible
G0486	ἀντιλοιδορέω	retaliate	lexicon	stepbible
G0487	ἀντίλυτρον	ransom	lexicon	stepbible
G0488	ἀντιμετρέω	return	lexicon	stepbible
G0489	ἀντιμισθία	recompense	lexicon	stepbible
G0490	Ἀντιόχεια	Antioch	lexicon	stepbible
G0491	Ἀντιοχεύς	Antiochian	lexicon	stepbible
G0492	ἀντιπαρέρχομαι	pass	lexicon	stepbible
G0493	Ἀντιπᾶς	Antipas	lexicon	stepbible
G0494	Ἀντιπατρίς	Antipatris	lexicon	stepbible
G0495	ἀντιπέρα	opposite	lexicon	stepbible
G0496	ἀντιπίπτω	resist	lexicon	stepbible
G0497	ἀντιστρατεύομαι	wage war against	lexicon	stepbible
